SourceInteraction	Interaction	TargetInteraction	MutualRank	WeightedPCC
Os01g0846300	xx	Os04g0244800	3.873	0.716816
Os01g0846300	xx	Os03g0268600	4.583	0.681945
Os01g0846300	xx	Os12g0242500	4.899	0.698743
Os09g0325700	xx	Os04g0244800	2.449	0.760295
Os09g0325700	xx	Os01g0846400	3.464	0.666087
Os09g0325700	xx	Os12g0242500	4.472	0.679002
Os01g0846400	xx	Os01g0824600	2.828	0.600419
Os04g0244800	xx	Os04g0541700	2.828	0.708827
Os04g0244800	xx	Os03g0146000	3.162	0.679649
Os04g0541700	xx	Os05g0510100	4.472	0.644940
Os03g0146000	xx	Os08g0236800	4.583	0.625061
Os05g0537400	xx	Os12g0242500	2	0.709771
Os05g0537400	xx	Os07g0602900	2.449	0.701739
Os05g0537400	xx	Os08g0408500	4	0.629092
Os05g0537400	xx	Os08g0472000	4.243	0.662001
Os08g0408500	xx	Os03g0645900	4.243	0.598906
Os03g0645900	xx	Os10g0542700	5	0.537456
Os08g0472000	xx	Os05g0147700	3.464	0.661189
Os08g0472000	xx	Os05g0463900	3.464	0.671818
Os08g0472000	xx	Os01g0243200	3.742	0.632880
Os05g0147700	xx	Os02g0313700	3.162	0.645857
Os05g0147700	xx	Os07g0657600	3.162	0.705250
Os05g0147700	xx	Os12g0605300	4.899	0.651559
Os05g0463900	xx	Os10g0537300	2	0.733785
Os05g0463900	xx	Os01g0148000	3.162	0.676577
Os05g0463900	xx	Os02g0796700	3.464	0.684540
Os05g0463900	xx	Os08g0540300	3.873	0.690198
Os10g0537300	xx	Os02g0796700	2.449	0.699053
Os01g0243200	xx	Os01g0673900	3.464	0.602711
Os01g0243200	xx	Os03g0333000	3.742	0.593316
Os01g0243200	xx	Os04g0106300	4.899	0.593376
Os07g0602900	xx	Os12g0242500	3	0.699817
Os07g0602900	xx	Os08g0408500	3.873	0.614603
Os07g0602900	xx	Os05g0195200	4.583	0.594267
Os01g0625300
Os01g0302500	xx	Os05g0129700	2	0.818953
Os01g0302500	xx	Os07g0129700	3	0.801050
Os05g0129700	xx	Os02g0166800	2.828	0.747770
Os05g0129700	xx	Os10g0554800	3.464	0.781336
Os09g0455200	xx	Os01g0190500	2	0.905118
Os09g0455200	xx	Os10g0337500	3.464	0.896242
Os09g0455200	xx	Os09g0548200	3.464	0.904926
Os09g0455200	xx	Os07g0145400	3.464	0.900217
Os09g0455200	xx	Os04g0553500	3.873	0.898092
Os10g0337500	xx	Os06g0675200	4.899	0.874309
Os06g0675200	xx	Os12g0484900	2	0.916485
Os06g0675200	xx	Os10g0347000	3	0.912273
Os06g0675200	xx	Os03g0729500	3.162	0.887395
Os12g0484900	xx	Os03g0729500	3.464	0.886937
Os12g0484900	xx	Os02g0816000	4.243	0.870238
Os10g0347000	xx	Os09g0395600	2	0.922967
Os10g0347000	xx	Os05g0424900	2.828	0.896617
Os10g0347000	xx	Os11g0616300	3.464	0.882682
Os10g0347000	xx	Os04g0656800	3.742	0.882149
Os10g0347000	xx	Os02g0816000	4.472	0.876663
Os10g0347000	xx	Os08g0114200	4.69	0.876020
Os09g0548200	xx	Os03g0807700	2.449	0.913390
Os09g0548200	xx	Os03g0645000	2.449	0.906179
Os09g0548200	xx	Os07g0658600	3.162	0.903086
Os09g0548200	xx	Os05g0454200	3.742	0.893543
Os09g0548200	xx	Os04g0553500	4.899	0.896633
Os03g0807700	xx	Os04g0631200	2	0.918718
Os03g0807700	xx	Os04g0465300	4.243	0.884363
Os03g0807700	xx	Os07g0658600	4.583	0.894638
Os03g0807700	xx	Os05g0454200	4.899	0.891509
Os03g0807700	xx	Os09g0395600	5	0.903740
Os04g0465300	xx	Os01g0215700	3.162	0.860430
Os03g0645000	xx	Os08g0420600	2.828	0.892857
Os03g0645000	xx	Os12g0484900	3	0.901831
Os03g0645000	xx	Os02g0629800	3.464	0.877156
Os03g0645000	xx	Os04g0465300	3.873	0.883145
Os03g0645000	xx	Os11g0244300	4	0.872759
Os08g0420600	xx	Os03g0221500	3.162	0.869067
Os02g0629800	xx	Os01g0914300	4.243	0.850960
Os11g0244300	xx	Os01g0212000	2.828	0.835916
Os07g0658600	xx	Os09g0508200	4	0.870698
Os09g0508200	xx	Os06g0643500	4	0.839691
Os05g0454200	xx	Os06g0474500	2.828	0.884145
Os05g0454200	xx	Os10g0160100	4.243	0.834039
Os06g0474500	xx	Os07g0573400	4.472	0.807682
Os06g0474500	xx	Os10g0160100	4.583	0.826514
Os10g0160100	xx	Os01g0937900	3.873	0.822840
Os07g0145400	xx	Os03g0807700	3.464	0.902787
Os07g0145400	xx	Os07g0658600	4	0.893384
Os04g0553500	xx	Os03g0807700	2.828	0.906233
Os04g0637000
Os07g0129700	xx	Os03g0727000	2	0.841434
Os07g0129700	xx	Os03g0727200	2.828	0.759857
Os03g0727000	xx	Os03g0727200	3	0.735162
Os03g0727200	xx	Os07g0576500	4.899	0.574947
Os07g0576500	xx	Os04g0550600	2.449	0.575777
Os04g0550600	xx	Os05g0196100	2.449	0.589542
Os04g0550600	xx	Os03g0593100	3.162	0.567699
Os04g0550600	xx	Os04g0545000	4.899	0.544537
Os08g0546800	xx	Os07g0631200	2.449	0.738527
Os07g0631200	xx	Os07g0694700	3.464	0.725205
Os07g0694700	xx	Os01g0736900	3.464	0.709335
Os07g0694700	xx	Os05g0407100	4.243	0.785072
Os05g0407100	xx	Os06g0198500	2.449	0.837979
Os05g0407100	xx	Os09g0526600	2.449	0.834101
Os05g0407100	xx	Os06g0253100	2.828	0.824483
Os01g0657400
Os03g0769800	xx	Os10g0147300	2	0.751257
Os10g0147300	xx	Os01g0768600	3	0.677152
Os01g0768600	xx	Os12g0164300	2.449	0.688362
Os01g0768600	xx	Os01g0691500	3.464	0.655707
Os01g0768600	xx	Os11g0229600	3.873	0.659559
Os01g0768600	xx	Os12g0544600	4.69	0.611487
Os12g0164300	xx	Os10g0495400	3.162	0.703004
Os12g0164300	xx	Os11g0229600	4.899	0.655798
Os01g0691500	xx	Os02g0768100	4.899	0.644822
Os06g0245900	xx	Os01g0164800	3.464	0.728418
Os09g0526600	xx	Os06g0253100	3.464	0.819952
Os09g0526600	xx	Os08g0500800	2.449	0.824115
Os09g0526600	xx	Os02g0491400	3.162	0.809263
Os09g0526600	xx	Os02g0139100	4.899	0.794939
Os06g0253100	xx	Os02g0758000	2.828	0.810908
Os06g0253100	xx	Os08g0196700	4.243	0.791402
Os02g0758000	xx	Os03g0266900	2.449	0.788660
Os02g0758000	xx	Os02g0181900	4.899	0.783127
Os03g0266900	xx	Os03g0267000	3	0.762820
Os03g0266900	xx	Os02g0217900	4.472	0.753159
Os03g0267000	xx	Os02g0217900	2.449	0.767130
Os02g0181900	xx	Os03g0113700	2.828	0.801098
Os02g0181900	xx	Os06g0116800	4.899	0.779836
Os08g0196700	xx	Os03g0237500	3.464	0.816323
Os03g0237500	xx	Os01g0840100	3	0.838936
Os03g0237500	xx	Os04g0568700	3.464	0.834379
Os03g0237500	xx	Os01g0239100	3.742	0.815303
Os03g0237500	xx	Os05g0435400	4.472	0.813545
Os01g0239100	xx	Os05g0435400	3	0.805477
Os08g0500800	xx	Os03g0381300	3.742	0.746592
Os08g0500800	xx	Os06g0253100	4.583	0.777169
Os02g0491400	xx	Os08g0525600	3.464	0.793423
Os08g0525600	xx	Os02g0644100	2	0.834759
Os08g0525600	xx	Os01g0624500	3.873	0.792334
Os02g0644100	xx	Os01g0180800	3.162	0.823469
Os02g0644100	xx	Os01g0624500	4	0.809538
Os02g0644100	xx	Os01g0757500	4.243	0.826183
Os02g0644100	xx	Os08g0500700	4.243	0.811068
Os02g0644100	xx	Os03g0237500	4.472	0.824574
Os02g0644100	xx	Os02g0102900	4.899	0.788713
Os01g0757500	xx	Os06g0198500	2	0.883827
Os02g0139100	xx	Os05g0562300	3.464	0.827738
Os05g0562300	xx	Os01g0840100	2	0.891151
Os05g0562300	xx	Os04g0568700	2.449	0.870254
Os05g0562300	xx	Os03g0237500	2.828	0.855090
Os05g0562300	xx	Os08g0520600	3.162	0.843213
Os01g0840100	xx	Os08g0500700	2.828	0.828385
Os01g0840100	xx	Os05g0460000	3.742	0.813899
Os01g0840100	xx	Os08g0520600	4.243	0.819663
Os04g0568700	xx	Os02g0814000	3.742	0.787980
Os04g0568700	xx	Os03g0265600	4.243	0.799030
Os04g0568700	xx	Os03g0293000	4.472	0.767260
Os02g0814000	xx	Os03g0293000	3	0.758625
Os03g0265600	xx	Os07g0633200	4.472	0.778164
Os08g0520600	xx	Os06g0592500	3.162	0.801074
Os01g0165000	xx	Os08g0485400	5	0.609575
Os08g0485400	xx	Os06g0103300	2.828	0.635447
Os08g0485400	xx	Os03g0154000	3.464	0.612490
Os08g0485400	xx	Os02g0274100	3.873	0.622808
Os06g0103300	xx	Os09g0572400	3.742	0.646313
Os06g0103300	xx	Os10g0345100	3.873	0.631615
Os06g0103300	xx	Os07g0272400	4.899	0.638354
Os09g0572400	xx	Os08g0398800	2	0.705294
Os09g0572400	xx	Os11g0160100	2.828	0.668418
Os10g0345100	xx	Os08g0538600	3.742	0.662616
Os10g0345100	xx	Os08g0428100	4	0.628074
Os07g0272400	xx	Os05g0529000	2	0.746670
Os07g0272400	xx	Os03g0812200	3.162	0.648871
Os07g0272400	xx	Os01g0934000	3.464	0.660277
Os07g0272400	xx	Os10g0537300	3.464	0.660966
Os03g0154000	xx	Os03g0425300	4	0.632130
Os03g0154000	xx	Os08g0153900	4.899	0.529761
Os03g0425300	xx	Os08g0398800	2.828	0.686299
Os03g0425300	xx	Os06g0503400	4	0.661301
Os03g0425300	xx	Os11g0160100	4.899	0.640749
Os06g0503400	xx	Os08g0425800	3.742	0.697194
Os02g0274100	xx	Os05g0392700	2	0.667977
Os05g0392700	xx	Os03g0180900	4.899	0.628256
Os06g0140700
Os02g0612700	xx	Os04g0450400	4.472	0.709030
Os04g0450400	xx	Os03g0189100	2.449	0.770489
Os04g0450400	xx	Os01g0567400	4.472	0.783806
Os01g0567400	xx	Os10g0442800	2	0.821546
Os01g0567400	xx	Os09g0413600	3.162	0.804979
Os01g0567400	xx	Os02g0734300	3.464	0.803580
Os01g0567400	xx	Os03g0297000	3.464	0.816665
Os01g0567400	xx	Os05g0594100	3.873	0.819872
Os01g0567400	xx	Os03g0843100	4	0.802866
Os01g0567400	xx	Os01g0575200	4.243	0.789381
Os01g0567400	xx	Os08g0495500	4.583	0.803431
Os01g0567400	xx	Os09g0434900	4.899	0.773880
Os10g0442800	xx	Os04g0660100	4.899	0.795102
Os04g0660100	xx	Os05g0126100	3.873	0.806428
Os02g0734300	xx	Os03g0124200	3.464	0.769980
Os02g0734300	xx	Os05g0126100	3.873	0.782080
Os03g0297000	xx	Os03g0582200	2	0.833407
Os03g0297000	xx	Os09g0425900	3.464	0.795304
Os03g0297000	xx	Os09g0371000	3.464	0.807070
Os03g0297000	xx	Os03g0407900	4.472	0.776406
Os03g0582200	xx	Os09g0371000	2.828	0.823010
Os05g0594100	xx	Os01g0550300	2	0.855988
Os05g0594100	xx	Os08g0550400	3	0.839955
Os05g0594100	xx	Os07g0131200	3.464	0.825931
Os01g0550300	xx	Os08g0550400	4.243	0.803185
Os03g0843100	xx	Os04g0660100	4.583	0.796651
Os01g0575200	xx	Os09g0434900	4	0.754806
Os01g0575200	xx	Os04g0469000	4	0.735434
Os08g0495500	xx	Os01g0559600	2	0.859648
Os09g0434900	xx	Os05g0542700	3	0.757258
Os09g0434900	xx	Os01g0588400	4.69	0.736072
Os01g0224100
Os02g0739700	xx	Os01g0931200	4	0.879370
